label,text,is_valid
GREEN,Accomplishments:  Created list of next steps. Delivered results of load test. Upcoming Events: Meeting to review draft on 9/8. Desired Outcome:   Successfully resolve performance issues with CPQ   Successful adoption and implementation of processes.,FALSE
AMBER,"Outcome: Help customer and internal security organizations in the understanding of problems. Account team is scheduling a call with customer and Fusion security. Next steps: Join calls as necessary, if scheduled.",FALSE
RED,"EXPLAIN WHY THIS IS NOT A BUG: So replicat do not have information of the source table structure. When one creates trail with NO_OBJECTDEFS, trails do not write the table definition to the trail file. With this parameter, replicat thinks that source table and target table is having similar structure and applies the record believing definition of tables are same.",FALSE
GREEN,"Mike has OL8 setup locally with basic setup working. Draft of proposal outlining what we want to do, and why we should do it is being reviewed.",FALSE
GREEN,"Accomplishments:   Nothing new to report from last week.  Upcoming Events:   Meet with the customer to give them our views on the current solution architecture. Risks:   The initial risks have largely been nullified. As long as the customer remains happy with the solution over the next few weeks, we should be in good shape. Ensure that the project has a solid development methodology going forward.",FALSE
GREEN,"September 28, 2021  MUFG is in the process of put together an architecture that would support the customer's desire for realtime access to fusion data from OAC as well as eliminate ETL. Review the assessment spreadsheet Provide recommendation on IACS. Desired Outcome:   Delivery of the Assessment outcome / Recommendations on whether IACS is a fit or not",FALSE
AMBER,They have engaged with the Fusion SaaS PM team through the ECA team to rearchitect their Fusion extract and wanted to have the assessment for IACS done by the A-Team.,FALSE
AMBER,"Accomplishment  Provided and discussed feedback slides with account team. Full review of CNAFs PaaS and IaaS solution including monitoring, change and configuration management solution as well as external dependencies / integrations is recommended.  Outcome  To get the OPA performance and stability in-line with customer expectations.",FALSE
AMBER,"28-Sept-2021  Progress   Had a meeting with the customer and consulting team, and provided some links to the documentation via email. They will review and test, and reach out if necessary.    Next Steps   Waiting on the customer and consulting team review and test result to see if the information provided meet their requirement.  Risk   Unable to meet their requirement with standard configuration and rest api.",FALSE
RED,"Sales wanted to discuss POC with customer as they wanted to do the POC on the production system. Sales says they can't do it, we said we can't touch a production system for a POC.  Game plan is to have them configure and test in test environment and if successful, they (customer) will work with sales to get a license and install in production.  if they run into performance  problems they will reach out to us. ",FALSE
RED,Outcome: Manage escalations from customer as they plan to go-live on November 15th of 2021.  Progress:  There are 2 issues being tracked to resolution at this time. Joined escalation calls and brought attention from OIC team. 3-26943794271 - OIC HCM Cloud,FALSE
